iter,compliance,vol_frac,rho_mean,rho_min,rho_max
32,1.02401515e-03,0.500000,0.500000,0.001000,1.000000
33,1.02279564e-03,0.500000,0.500000,0.001000,1.000000
34,1.02198574e-03,0.500000,0.500000,0.001000,1.000000
35,1.02193439e-03,0.500000,0.500000,0.001000,1.000000
36,1.02303435e-03,0.500000,0.500000,0.001000,1.000000
37,1.02384082e-03,0.500000,0.500000,0.001000,1.000000
38,1.02427435e-03,0.500000,0.500000,0.001000,1.000000
39,1.02438583e-03,0.500000,0.500000,0.001000,1.000000
40,1.02433385e-03,0.500000,0.500000,0.001000,1.000000
41,1.02409554e-03,0.500000,0.500000,0.001000,1.000000
42,1.02377098e-03,0.500000,0.500000,0.001000,1.000000
43,1.02370371e-03,0.500000,0.500000,0.001000,1.000000
44,1.02367935e-03,0.500000,0.500000,0.001000,1.000000
45,1.02408157e-03,0.500000,0.500000,0.001000,1.000000
46,1.02470742e-03,0.500000,0.500000,0.001000,1.000000
47,1.02521944e-03,0.500000,0.500000,0.001000,1.000000
48,1.02583572e-03,0.500000,0.500000,0.001000,1.000000
49,1.02629789e-03,0.500000,0.500000,0.001000,1.000000
50,1.02634981e-03,0.500000,0.500000,0.001000,1.000000
51,1.02599668e-03,0.500000,0.500000,0.001000,1.000000
52,1.02540383e-03,0.500000,0.500000,0.001000,1.000000
53,1.02475408e-03,0.500000,0.500000,0.001000,1.000000
54,1.02441485e-03,0.500000,0.500000,0.001000,1.000000
55,1.02431703e-03,0.500000,0.500000,0.001000,1.000000
56,1.02422366e-03,0.500000,0.500000,0.001000,1.000000
57,1.02410809e-03,0.500000,0.500000,0.001000,1.000000
58,1.02389243e-03,0.500000,0.500000,0.001000,1.000000
59,1.02386961e-03,0.500000,0.500000,0.001000,1.000000
60,1.02410044e-03,0.500000,0.500000,0.001000,1.000000
61,1.02424380e-03,0.500000,0.500000,0.001000,1.000000
62,1.02435008e-03,0.500000,0.500000,0.001000,1.000000
63,1.02426050e-03,0.500000,0.500000,0.001000,1.000000
64,1.02406526e-03,0.500000,0.500000,0.001000,1.000000
65,1.02398782e-03,0.500000,0.500000,0.001000,1.000000
66,1.02388332e-03,0.500000,0.500000,0.001000,1.000000
67,1.02370100e-03,0.500000,0.500000,0.001000,1.000000
68,1.02339930e-03,0.500000,0.500000,0.001000,1.000000
69,1.02323571e-03,0.500000,0.500000,0.001000,1.000000
70,1.02319952e-03,0.500000,0.500000,0.001000,1.000000
71,1.02329286e-03,0.500000,0.500000,0.001000,1.000000
72,1.02351765e-03,0.500000,0.500000,0.001000,1.000000
73,1.02364619e-03,0.500000,0.500000,0.001000,1.000000
74,1.02351875e-03,0.500000,0.500000,0.001000,1.000000
75,1.02355315e-03,0.500000,0.500000,0.001000,1.000000
76,1.02398773e-03,0.500000,0.500000,0.001000,1.000000
77,1.02456375e-03,0.500000,0.500000,0.001000,1.000000
78,1.02497507e-03,0.500000,0.500000,0.001000,1.000000
79,1.02534437e-03,0.500000,0.500000,0.001000,1.000000
80,1.02557253e-03,0.500000,0.500000,0.001000,1.000000
81,1.02561214e-03,0.500000,0.500000,0.001000,1.000000
82,1.02548152e-03,0.500000,0.500000,0.001000,1.000000
83,1.02522550e-03,0.500000,0.500000,0.001000,1.000000
84,1.02475527e-03,0.500000,0.500000,0.001000,1.000000
85,1.02418360e-03,0.500000,0.500000,0.001000,1.000000
86,1.02362155e-03,0.500000,0.500000,0.001000,1.000000
87,1.02335124e-03,0.500000,0.500000,0.001000,1.000000
88,1.02322711e-03,0.500000,0.500000,0.001000,1.000000
89,1.02341762e-03,0.500000,0.500000,0.001000,1.000000
90,1.02359635e-03,0.500000,0.500000,0.001000,1.000000
91,1.02362955e-03,0.500000,0.500000,0.001000,1.000000
92,1.02358066e-03,0.500000,0.500000,0.001000,1.000000
93,1.02342507e-03,0.500000,0.500000,0.001000,1.000000
94,1.02317262e-03,0.500000,0.500000,0.001000,1.000000
95,1.02327652e-03,0.500000,0.500000,0.001000,1.000000
96,1.02324755e-03,0.500000,0.500000,0.001000,1.000000
97,1.02314788e-03,0.500000,0.500000,0.001000,1.000000
98,1.02308460e-03,0.500000,0.500000,0.001000,1.000000
99,1.02274599e-03,0.500000,0.500000,0.001000,1.000000
100,1.02298019e-03,0.500000,0.500000,0.001000,1.000000
101,1.02315414e-03,0.500000,0.500000,0.001000,1.000000
102,1.02344968e-03,0.500000,0.500000,0.001000,1.000000
103,1.02371824e-03,0.500000,0.500000,0.001000,1.000000
104,1.02388132e-03,0.500000,0.500000,0.001000,1.000000
105,1.02375361e-03,0.500000,0.500000,0.001000,1.000000
106,1.02304720e-03,0.500000,0.500000,0.001000,1.000000
107,1.02222326e-03,0.500000,0.500000,0.001000,1.000000
108,1.02164898e-03,0.500000,0.500000,0.001000,1.000000
109,1.02119317e-03,0.500000,0.500000,0.001000,1.000000
110,1.02076480e-03,0.500000,0.500000,0.001000,1.000000
111,1.02067502e-03,0.500000,0.500000,0.001000,1.000000
112,1.02067004e-03,0.500000,0.500000,0.001000,1.000000
113,1.02103470e-03,0.500000,0.500000,0.001000,1.000000
114,1.02144982e-03,0.500000,0.500000,0.001000,1.000000
115,1.02163412e-03,0.500000,0.500000,0.001000,1.000000
116,1.02156527e-03,0.500000,0.500000,0.001000,1.000000
117,1.02123677e-03,0.500000,0.500000,0.001000,1.000000
118,1.02076697e-03,0.500000,0.500000,0.001000,1.000000
119,1.02015810e-03,0.500000,0.500000,0.001000,1.000000
120,1.01973842e-03,0.500000,0.500000,0.001000,1.000000
121,1.01969460e-03,0.500000,0.500000,0.001000,1.000000
122,1.01965508e-03,0.500000,0.500000,0.001000,1.000000
123,1.02007090e-03,0.500000,0.500000,0.001000,1.000000
124,1.02038331e-03,0.500000,0.500000,0.001000,1.000000
125,1.02080013e-03,0.500000,0.500000,0.001000,1.000000
126,1.02125943e-03,0.500000,0.500000,0.001000,1.000000
127,1.02167358e-03,0.500000,0.500000,0.001000,1.000000
128,1.02192967e-03,0.500000,0.500000,0.001000,1.000000
129,1.02193592e-03,0.500000,0.500000,0.001000,1.000000
130,1.02170587e-03,0.500000,0.500000,0.001000,1.000000
131,1.02125399e-03,0.500000,0.500000,0.001000,1.000000
132,1.02091282e-03,0.500000,0.500000,0.001000,1.000000
133,1.02065417e-03,0.500000,0.500000,0.001000,1.000000
134,1.02080340e-03,0.500000,0.500000,0.001000,1.000000
135,1.02149780e-03,0.500000,0.500000,0.001000,1.000000
136,1.02196190e-03,0.500000,0.500000,0.001000,1.000000
137,1.02221110e-03,0.500000,0.500000,0.001000,1.000000
138,1.02218881e-03,0.500000,0.500000,0.001000,1.000000
139,1.02204685e-03,0.500000,0.500000,0.001000,1.000000
140,1.02152345e-03,0.500000,0.500000,0.001000,1.000000
141,1.02093791e-03,0.500000,0.500000,0.001000,1.000000
142,1.02059222e-03,0.500000,0.500000,0.001000,1.000000
143,1.02016843e-03,0.500000,0.500000,0.001000,1.000000
144,1.01965609e-03,0.500000,0.500000,0.001000,1.000000
145,1.01919274e-03,0.500000,0.500000,0.001000,1.000000
146,1.01891370e-03,0.500000,0.500000,0.001000,1.000000
147,1.01867271e-03,0.500000,0.500000,0.001000,1.000000
148,1.01858092e-03,0.500000,0.500000,0.001000,1.000000
149,1.01886102e-03,0.500000,0.500000,0.001000,1.000000
150,1.01919783e-03,0.500000,0.500000,0.001000,1.000000
151,1.01929834e-03,0.500000,0.500000,0.001000,1.000000
152,1.01929850e-03,0.500000,0.500000,0.001000,1.000000
153,1.01922012e-03,0.500000,0.500000,0.001000,1.000000
154,1.01906378e-03,0.500000,0.500000,0.001000,1.000000
155,1.01891197e-03,0.500000,0.500000,0.001000,1.000000
156,1.01884465e-03,0.500000,0.500000,0.001000,1.000000
157,1.01878865e-03,0.500000,0.500000,0.001000,1.000000
158,1.01906394e-03,0.500000,0.500000,0.001000,1.000000
159,1.01932616e-03,0.500000,0.500000,0.001000,1.000000
160,1.01964767e-03,0.500000,0.500000,0.001000,1.000000
161,1.01999664e-03,0.500000,0.500000,0.001000,1.000000
162,1.02015673e-03,0.500000,0.500000,0.001000,1.000000
163,1.01996172e-03,0.500000,0.500000,0.001000,1.000000
164,1.01940519e-03,0.500000,0.500000,0.001000,1.000000
165,1.01847809e-03,0.500000,0.500000,0.001000,1.000000
166,1.01756295e-03,0.500000,0.500000,0.001000,1.000000
167,1.01672511e-03,0.500000,0.500000,0.001000,1.000000
168,1.01599437e-03,0.500000,0.500000,0.001000,1.000000
169,1.01569227e-03,0.500000,0.500000,0.001000,1.000000
170,1.01557862e-03,0.500000,0.500000,0.001000,1.000000
171,1.01566854e-03,0.500000,0.500000,0.001000,1.000000
172,1.01584517e-03,0.500000,0.500000,0.001000,1.000000
173,1.01607943e-03,0.500000,0.500000,0.001000,1.000000
174,1.01619002e-03,0.500000,0.500000,0.001000,1.000000
175,1.01622881e-03,0.500000,0.500000,0.001000,1.000000
176,1.01628861e-03,0.500000,0.500000,0.001000,1.000000
177,1.01650494e-03,0.500000,0.500000,0.001000,1.000000
178,1.01693492e-03,0.500000,0.500000,0.001000,1.000000
179,1.01739233e-03,0.500000,0.500000,0.001000,1.000000
180,1.01773391e-03,0.500000,0.500000,0.001000,1.000000
181,1.01814892e-03,0.500000,0.500000,0.001000,1.000000
182,1.01884403e-03,0.500000,0.500000,0.001000,1.000000
183,1.01949019e-03,0.500000,0.500000,0.001000,1.000000
184,1.02003789e-03,0.500000,0.500000,0.001000,1.000000
185,1.02029448e-03,0.500000,0.500000,0.001000,1.000000
186,1.02031125e-03,0.500000,0.500000,0.001000,1.000000
187,1.02002142e-03,0.500000,0.500000,0.001000,1.000000
188,1.01943080e-03,0.500000,0.500000,0.001000,1.000000
189,1.01858529e-03,0.500000,0.500000,0.001000,1.000000
190,1.01794016e-03,0.500000,0.500000,0.001000,1.000000
191,1.01743721e-03,0.500000,0.500000,0.001000,1.000000
192,1.01729951e-03,0.500000,0.500000,0.001000,1.000000
193,1.01768546e-03,0.500000,0.500000,0.001000,1.000000
194,1.01813916e-03,0.500000,0.500000,0.001000,1.000000
195,1.01855814e-03,0.500000,0.500000,0.001000,1.000000
196,1.01872950e-03,0.500000,0.500000,0.001000,1.000000
197,1.01870638e-03,0.500000,0.500000,0.001000,1.000000
198,1.01847217e-03,0.500000,0.500000,0.001000,1.000000
199,1.01828839e-03,0.500000,0.500000,0.001000,1.000000
200,1.01819436e-03,0.500000,0.500000,0.001000,1.000000
